FECHA;DESCRIPCION;VALOR;ETIQUETA
10/09;COMPRA EN  LAS HERMOS;5100.0;HORMIGA
10/09;Recarga de Tarjeta Civica;10000.0;NO_HORMIGA
11/09;COMPRA EN  SUB EAFIT;14900.0;HORMIGA
11/09;COMPRA EN  UNIVERSIDA;2300.0;HORMIGA
12/09;COMPRA EN  UNIVERSIDA;4700.0;HORMIGA
12/09;COMPRA EN  HOME FOOD;17700.0;NO_HORMIGA
12/09;COMPRA EN  RECANTO EA;9950.0;HORMIGA
12/09;COMPRA EN  FARMACIA P;7598.0;NO_HORMIGA
12/09;COMPRA EN  LAS HERMOS;7500.0;HORMIGA
12/09;Recarga de Tarjeta Civica;8000.0;NO_HORMIGA
12/09;CUOTA MANEJO TRJ DEB 09 25;10650.0;NO_HORMIGA
13/09;PAGO QR ROSA MISTICA;5000.0;HORMIGA
13/09;Recarga de Tarjeta Civica;6000.0;NO_HORMIGA
15/09;TRANSFERENCIA A NEQUI;7500.0;NO_HORMIGA
15/09;COMPRA EN  RECANTO EA;8300.0;HORMIGA
15/09;COMPRA EN  ALDEA NIKK;17700.0;NO_HORMIGA
15/09;COMPRA EN  LAS HERMOS;5100.0;HORMIGA
15/09;Recarga de Tarjeta Civica;10000.0;NO_HORMIGA
15/09;Recarga de Tarjeta Civica;6000.0;NO_HORMIGA
16/09;PAGO QR Interactivafusion;8000.0;HORMIGA
16/09;COMPRA EN  BIGOS EAFI;17700.0;NO_HORMIGA
17/09;TRANSFERENCIA A NEQUI;17000.0;NO_HORMIGA
17/09;COMPRA EN  UNIVERSIDA;3000.0;HORMIGA
17/09;RETIRO CAJERO  CAJERO EAFIT BL;20000.0;NO_HORMIGA
18/09;COMPRA EN  FRISBY H30;22900.0;NO_HORMIGA
18/09;COMPRA EN  EXITO WOW;11800.0;NO_HORMIGA
18/09;COMPRA EN  MIMOS VIVA;6900.0;HORMIGA
18/09;Recarga de Tarjeta Civica;15000.0;NO_HORMIGA
19/09;COMPRA EN  LAS HERMOS;5100.0;HORMIGA
19/09;COMPRA EN  HOME FOOD;17700.0;NO_HORMIGA
19/09;COMPRA EN  RECANTO EA;2500.0;HORMIGA
19/09;COMPRA EN  PV DOGGER;11900.0;HORMIGA
21/09;TRANSFERENCIA A NEQUI;8900.0;NO_HORMIGA
22/09;COMPRA EN  FRISBY H30;22900.0;NO_HORMIGA
22/09;COMPRA EN  LAS HERMOS;5600.0;HORMIGA
22/09;Recarga de Tarjeta Civica;5000.0;NO_HORMIGA
23/09;TRANSFERENCIA A NEQUI;26000.0;NO_HORMIGA
23/09;TRANSFERENCIA A NEQUI;12000.0;NO_HORMIGA
23/09;Recarga de Tarjeta Civica;15000.0;NO_HORMIGA
24/09;COMPRA EN  MADELO UNI;12700.0;HORMIGA
24/09;COMPRA EN  HOME FOOD;17700.0;NO_HORMIGA
25/09;COMPRA EN  INVERSIONE;5300.0;HORMIGA
25/09;COMPRA EN  UNIVERSIDA;2700.0;HORMIGA
25/09;COMPRA EN  INVERSIONE;5336.0;HORMIGA
25/09;Recarga de Tarjeta Civica;21000.0;NO_HORMIGA
26/09;PAGO QR Interactivafusion;8000.0;HORMIGA
26/09;COMPRA EN  TACO FACTO;22500.0;NO_HORMIGA
29/09;COMPRA EN  RECANTO EA;8300.0;HORMIGA
29/09;COMPRA EN  HOME FOOD;17700.0;NO_HORMIGA
30/09;COMPRA EN  INVERSIONE;7200.0;HORMIGA
30/09;Recarga de Tarjeta Civica;12000.0;NO_HORMIGA
12/04;COMPRA EN  MULTIPLEX;8000.0;HORMIGA
15/04;TRANSFERENCIA A NEQUI;22000.0;NO_HORMIGA
21/04;TRANSFERENCIA A NEQUI;11000.0;NO_HORMIGA
25/04;COMPRA EN  LAS HERMOS;12600.0;HORMIGA
2/05;COMPRA EN  HOME FOOD;22000.0;NO_HORMIGA
5/05;TRANSFERENCIA A NEQUI;4300.0;NO_HORMIGA
5/05;COMPRA EN  HOME FOOD;22000.0;NO_HORMIGA
5/05;COMPRA EN  DUNKIN DON;5500.0;HORMIGA
5/05;COMPRA EN  INVERSIONE;12700.0;HORMIGA
7/05;COMPRA EN  RECANTO EA;5200.0;HORMIGA
7/05;COMPRA EN  HOME FOOD;17700.0;NO_HORMIGA
7/05;COMPRA EN  LAS HERMOS;7500.0;HORMIGA
7/05;Recarga de Tarjeta Civica;20000.0;NO_HORMIGA
8/05;TRANSFERENCIA A NEQUI;7500.0;NO_HORMIGA
8/05;COMPRA EN  TIENDA D1;5600.0;HORMIGA
8/05;COMPRA EN  INVERSIONE;8800.0;HORMIGA
9/05;COMPRA EN  UNIVERSIDA;12200.0;HORMIGA
9/05;COMPRA EN  FRISBY H30;22500.0;NO_HORMIGA
9/05;COMPRA EN  UNIVERSIDA;2400.0;HORMIGA
10/05;COMPRA EN  DOLLARCITY;23000.0;NO_HORMIGA
10/05;COMPRA EN  INVERSIONE;26000.0;HORMIGA
10/05;Recarga de Tarjeta Civica;15000.0;NO_HORMIGA
11/05;TRANSFERENCIA A NEQUI;1000.0;NO_HORMIGA
11/05;TRANSFERENCIA A NEQUI;24000.0;NO_HORMIGA
14/05;COMPRA EN  FRISBY H30;22500.0;NO_HORMIGA
14/05;CUOTA MANEJO TRJ DEB 05 25;10650.0;NO_HORMIGA
15/05;TRANSFERENCIA A NEQUI;7200.0;NO_HORMIGA
15/05;COMPRA EN  CHIPSTATIO;17700.0;NO_HORMIGA
16/05;COMPRA EN  TACO FACTO;17700.0;NO_HORMIGA
16/05;COMPRA EN  UNIVERSIDA;7900.0;HORMIGA
16/05;COMPRA EN  RECANTO EA;5100.0;HORMIGA
16/05;COMPRA EN  LAS HERMOS;12600.0;HORMIGA
